BulkBGroup,RhizoBGroup,Country,Crop_Family,Crop_Managment,n.x,average.x,sd.x,n.y,average.y,sd.y
ZZZZV2B,ZZZZV2R,China,Solanaceae,Dryland,5,6.634723753,0.129475853,5,6.258292662,0.133783807
ZZZZV3B,ZZZZV3R,China,Solanaceae,Dryland,5,6.758681702,0.086832706,5,6.179758934,0.266825394
ZZZZW1B,ZZZZW1R,USA,Gramineae,Dryland,9,6.773491308,0.174590519,9,7.042868375,0.101748418
ZZZZW2B,ZZZZW2R,USA,Gramineae,Dryland,9,7.070215471,0.189039105,9,6.926885276,0.122770296
ZZZZX1B,ZZZZX1R,Czech,Solanaceae,Dryland,3,5.196332238,0.149392981,4,5.244873386,0.128916541
ZZZZY1B,ZZZZY1R,China,Gramineae,Dryland,4,7.066744387,0.150526095,4,6.931093474,0.06789535
ZZZZY2B,ZZZZY2R,China,Gramineae,Dryland,4,6.819023505,0.283255427,3,6.890440969,0.074148948
ZZZZY3B,ZZZZY3R,China,Gramineae,Dryland,4,7.19552928,0.12478498,4,6.796566876,0.129387985
ZZZZY4B,ZZZZY4R,China,Gramineae,Dryland,4,6.982306363,0.252779112,3,6.814738365,0.047314728
ZZZZZA3B,ZZZZZA3R,USA,Leguminosae,Dryland,2,3.636241986,0.339302046,5,6.285926692,0.774268425
ZZZZZA4B,ZZZZZA4R,USA,Leguminosae,Dryland,2,5.293266612,2.092260864,5,7.125069522,0.144096059
ZZZZZA5B,ZZZZZA5R,USA,Leguminosae,Dryland,2,7.479954707,0.490701092,5,6.696220836,0.390387748
ZZZZZA6B,ZZZZZA6R,USA,Leguminosae,Dryland,2,7.191552115,0.360766812,4,6.542306739,0.319149566
ZZZZZC1B,ZZZZZC1R,United Kingdom,Gramineae,Dryland,3,6.499082997,0.184067235,3,6.228653013,0.019097474
ZZZZZC2B,ZZZZZC2R,United Kingdom,Gramineae,Dryland,4,6.780169415,0.176375366,4,6.858793473,0.058246825
ZZZZZC3B,ZZZZZC3R,United Kingdom,Gramineae,Dryland,3,6.747690821,0.056831642,3,6.580404037,0.248488172
ZZZZZC4B,ZZZZZC4R,United Kingdom,Gramineae,Dryland,4,6.333919962,0.374137542,3,5.808174755,0.559098135
ZZZZZC5B,ZZZZZC5R,United Kingdom,Gramineae,Dryland,3,6.584927008,0.075973481,3,6.018345592,0.111183367
ZZZZZC6B,ZZZZZC6R,United Kingdom,Gramineae,Dryland,3,6.732681474,0.131950827,3,6.798333123,0.073501112
ZZZZZC7B,ZZZZZC7R,United Kingdom,Gramineae,Dryland,3,6.327050849,0.709616769,3,6.683156008,0.169771142
ZZZZZC8B,ZZZZZC8R,United Kingdom,Gramineae,Dryland,3,6.358976157,0.117418021,3,6.142158133,0.37141931
ZZZZZD1B,ZZZZZD1R,Mexico,Gramineae,Dryland,5,7.221858944,0.165644157,5,7.00303227,0.048094868
ZZZZZG2B,ZZZZZG2R,Italy,Gramineae,Dryland,4,6.354779545,0.259532905,4,5.691726215,0.336893773
ZZZZZG3B,ZZZZZG3R,Italy,Gramineae,Dryland,4,6.160853631,0.129141631,4,5.107695831,0.24295027
ZZZZZH1B,ZZZZZH1R,China,Gramineae,Dryland,5,6.848585223,0.137305342,5,6.683712841,0.125332878
ZZZZZH1B,ZZZZZH1R,China,Gramineae,Dryland,5,6.848585223,0.137305342,5,6.683712841,0.125332878
ZZZZZH2B,ZZZZZH2R,China,Gramineae,Dryland,5,7.048444125,0.03317332,5,6.832676409,0.051857972
ZZZZZH3B,ZZZZZH3R,China,Gramineae,Dryland,5,6.968320943,0.069239197,5,6.676363825,0.056344994
ZZZZZH4B,ZZZZZH4R,China,Gramineae,Dryland,5,7.088447582,0.040421974,5,6.795089308,0.049119677
ZZZZZH5B,ZZZZZH5R,China,Gramineae,Dryland,5,7.074642046,0.03373695,5,6.775544185,0.038685525
ZZZZZH6B,ZZZZZH6R,China,Gramineae,Dryland,5,7.081614128,0.025761663,5,6.772925547,0.072308328
ZZZZZH7B,ZZZZZH7R,China,Gramineae,Dryland,5,6.886225626,0.056793034,5,6.418878411,0.097597977
ZZZZZH8B,ZZZZZH8R,China,Gramineae,Dryland,5,7.116957715,0.020294941,5,7.0225393,0.039204656
ZZZZZH9B,ZZZZZH9R,China,Gramineae,Dryland,5,7.074380112,0.034926154,5,6.895898696,0.112521428
ZZZZZI1B,ZZZZZI1R,Germany,Leguminosae,Dryland,3,4.571005231,0.512471196,5,4.845680672,0.842266089
ZZZZZI2B,ZZZZZI2R,Germany,Gramineae,Dryland,4,4.965857603,0.451433318,4,4.54506719,0.401754
ZZZZZJ1B,ZZZZZJ1R,Brazil,Gramineae,Dryland,6,3.31902142,0.086351657,6,3.184392346,0.171148901
ZZZZZK1B,ZZZZZK1R,USA,Gramineae,Wetland,6,5.684292159,0.903626008,6,6.00924564,1.090198053
ZZZZZK2B,ZZZZZK2R,USA,Gramineae,Wetland,6,4.694815335,0.28068578,4,5.927695827,0.182638143
ZZZZZK3B,ZZZZZK3R,USA,Gramineae,Wetland,6,5.721783609,0.413611972,4,6.226345718,0.237579865
ZZZZZK4B,ZZZZZK4R,USA,Gramineae,Wetland,7,4.919175424,1.144026096,6,5.164120148,0.853119873
ZZZZZL1B,ZZZZZL1R,USA,Gramineae,Dryland,13,3.194542133,0.530471166,20,6.326944153,1.191140958
ZZZZZL2B,ZZZZZL2R,USA,Gramineae,Dryland,13,3.072450147,0.360719625,27,6.389812404,0.4927744
ZZZZZM1B,ZZZZZM1R,China,Gramineae,Dryland,7,5.530138133,0.458637776,22,5.584130435,0.381560784
ZZZZZM2B,ZZZZZM2R,China,Gramineae,Dryland,8,6.262446768,0.331972222,11,5.633767134,0.551209288
ZZZZZO1B,ZZZZZO1R,China,NA,Dryland,5,5.848772703,0.479657446,6,5.518990987,0.378414278
ZZZZZO2B,ZZZZZO2R,China,NA,Dryland,6,6.279489621,0.296535228,6,5.870265763,0.625720896
ZZZZZP1B,ZZZZZP1R,China,NA,Dryland,4,5.740202547,0.264329011,5,5.748111972,0.125539254
ZZZZZP2B,ZZZZZP2R,China,NA,Dryland,4,5.574581021,0.263527049,5,5.780530895,0.389083885
ZZZZZP3B,ZZZZZP3R,China,NA,Dryland,5,5.741882817,0.343739043,5,5.74456493,0.413293998
ZZZZZP4B,ZZZZZP4R,China,NA,Dryland,5,5.773280218,0.213869612,5,5.651831954,0.229984067
ZZZZZQ1B,ZZZZZQ1R,China,Solanaceae,Dryland,6,6.439139946,0.206693891,5,6.159592341,0.467010483
ZZZZZQ1B,ZZZZZQ2R,China,Solanaceae,Dryland,6,6.439139946,0.206693891,6,6.486470378,0.11632905
ZZZZZQ1B,ZZZZZQ3R,China,Solanaceae,Dryland,6,6.439139946,0.206693891,6,6.589813426,0.155532621
ZZZZZQ1B,ZZZZZQ4R,China,Solanaceae,Dryland,6,6.439139946,0.206693891,5,5.541895009,0.175932883
ZZZZZQ1B,ZZZZZQ5R,China,Solanaceae,Dryland,6,6.439139946,0.206693891,4,5.263500742,0.163679927
ZZZZZQ1B,ZZZZZQ6R,China,Solanaceae,Dryland,6,6.439139946,0.206693891,6,6.427287973,0.186622836
ZZZZZQ1B,ZZZZZQ7R,China,Solanaceae,Dryland,6,6.439139946,0.206693891,5,5.416222665,0.116368109
ZZZZZQ1B,ZZZZZQ8R,China,Solanaceae,Dryland,6,6.439139946,0.206693891,6,6.769568725,0.215569541
ZZZZZS1B,ZZZZZS1R,China,Gramineae,Dryland,4,4.87638384,0.107472198,4,5.464530728,0.174774725
ZZZZZS1B,ZZZZZS3R,China,Gramineae,Dryland,4,4.87638384,0.107472198,4,5.073421367,0.278937926
Z19FB,Z19FCR,China,Apiaceae,Dryland,3,7.329286315,0.365277113,3,7.109571303,0.187262716
Z19FB,Z19FCUR,China,Cucurbitaceae,Dryland,3,7.329286315,0.365277113,6,7.13642014,0.153342194
Z19FB,Z19FWR,China,Cucurbitaceae,Dryland,3,7.329286315,0.365277113,6,7.175621581,0.129439692
Z19SB,Z19SCR,China,Apiaceae,Dryland,3,7.195989766,0.050730855,3,7.518851847,0.09960474
Z19SB,Z19SCUR,China,Cucurbitaceae,Dryland,3,7.195989766,0.050730855,6,7.557242886,0.117187613
Z19SB,Z19SWR,China,Cucurbitaceae,Dryland,3,7.195989766,0.050730855,6,7.124949257,0.215979283
Z20CKB,Z20OFR,China,Cucurbitaceae,Dryland,4,5.165395912,0.219429654,4,4.727212155,0.141550496
Z20CKB,Z20MR,China,Cucurbitaceae,Dryland,4,5.165395912,0.219429654,4,4.987211811,0.129488813
Z22S15B,Z22S15R,China,Gramineae,Wetland,2,6.442024895,0.029761181,2,6.084486612,0.198496135
Z22S14B,Z22S14R,China,Gramineae,Wetland,2,6.040098277,0.24258391,2,6.628219856,0.256129311
Z22S13B,Z22S13R,China,Gramineae,Wetland,2,6.130032577,0.285162544,2,6.163848598,0.170759351
Z22S12B,Z22S12R,China,Gramineae,Wetland,2,5.869048672,0.49332129,2,6.066092732,0.100880819
Z22S11B,Z22S11R,China,Gramineae,Wetland,2,5.898225218,0.180331098,2,5.811649052,7.89E-06
Z22S10B,Z22S10R,China,Gramineae,Wetland,2,6.533305957,0.170810632,2,6.419201827,0.056168148
Z22S9B,Z22S9R,China,Gramineae,Wetland,2,5.966412756,0.101606995,2,6.09374522,0.177102398
Z22S8B,Z22S8R,China,Gramineae,Wetland,2,6.301895888,0.340084141,2,5.978530501,0.141527458
Z22S7B,Z22S7R,China,Gramineae,Wetland,2,6.159228338,0.24778477,2,6.370328395,0.273313213
Z22S6B,Z22S6R,China,Gramineae,Wetland,2,6.044573702,0.150778553,2,6.271537505,0.260930233
Z22S5B,Z22S5R,China,Gramineae,Wetland,2,5.968196876,0.109057892,2,6.282871724,0.294715368
Z22S4B,Z22S4R,China,Gramineae,Wetland,2,6.35782538,0.106819555,2,6.551750503,0.04617017
Z22S3B,Z22S3R,China,Gramineae,Wetland,2,6.013045787,0.100028964,2,6.16046152,0.470077135
Z22S2B,Z22S2R,China,Gramineae,Wetland,2,6.404613885,0.163578028,2,5.988366441,0.117575101
Z22S1B,Z22S1R,China,Gramineae,Wetland,2,6.61989922,0.089212271,2,6.124282851,0.106567768
Z24L2B,Z24L2R,China,Leguminosae,Dryland,3,5.701102907,0.076487192,2,5.780751352,0.035025235
Z24L3B,Z24L3R,China,Leguminosae,Dryland,2,5.642881926,0.026834278,2,5.648068953,0.035490052
Z24L4B,Z24L4R,China,Leguminosae,Dryland,3,5.709953456,0.187987885,3,5.792147124,0.089875072
Z24L5B,Z24L5R,China,Leguminosae,Dryland,3,5.844345693,0.220400562,3,5.904447893,0.131149592
Z24L6B,Z24L6R,China,Leguminosae,Dryland,2,5.97735908,0.086726005,2,5.719777176,0.06359062
Z32FQSCKB,Z32FQ1CSR,China,Gramineae,Wetland,3,5.729613401,0.210185767,3,5.613382354,0.245778173
Z32FQSCKB,Z32FQ2ASR,China,Gramineae,Wetland,3,5.729613401,0.210185767,3,5.76578526,0.263497105
Z32FQSCKB,Z32FQCASR,China,Gramineae,Wetland,3,5.729613401,0.210185767,3,5.636916088,0.208489979
Z32FQSCKB,Z32FQMHSR,China,Gramineae,Wetland,3,5.729613401,0.210185767,3,5.59991478,0.244046623
Z33MPB,Z33MPR,China,Leguminosae,Dryland,6,5.703856593,0.185199919,4,5.522040786,0.127696708
Z33NTB,Z33NTR,China,Leguminosae,Dryland,7,5.423501981,0.250269914,3,5.416977355,0.033216297
Z33TTB,Z33RTR,China,Leguminosae,Dryland,6,5.6487574,0.207143374,4,5.55275699,0.115706628
