BulkBGroup,RhizoBGroup,Country,Crop_Family,Crop_Managment,n.x,average.x,sd.x,n.y,average.y,sd.y
ZC4B,ZC91R,China,Gramineae,Wetland,3,6.046605141,0.023113749,3,5.929707993,0.116234876
ZC4B,ZC92R,China,Gramineae,Wetland,3,6.046605141,0.023113749,3,6.177984328,0.083508513
ZC4B,ZC93R,China,Gramineae,Wetland,3,6.046605141,0.023113749,3,6.061846636,0.175565488
ZD1B,ZD1R,China,Gramineae,Dryland,3,6.434587088,0.212747984,3,6.156451548,0.052967575
ZD2B,ZD2R,China,Gramineae,Dryland,3,6.26464472,0.108694525,3,6.389977428,0.105484782
ZD4B,ZD4R,China,Gramineae,Dryland,3,6.512386837,0.179919269,3,5.572750832,0.191671922
ZD5B,ZD5R,China,Gramineae,Dryland,3,6.692318422,0.068815682,3,6.270174631,0.321820557
ZD6B,ZD6R,China,Gramineae,Dryland,3,6.346078991,0.120766767,3,5.690487412,0.039547704
ZK1B,ZK1R,China,Gramineae,Dryland,4,3.735762461,0.204736793,4,2.837858441,0.283430591
ZK2B,ZK2R,China,Gramineae,Dryland,4,3.917446429,0.169407454,4,2.95377333,0.133635082
ZL1B,ZL1R,Canada,Solanaceae,Dryland,4,7.298549111,0.18794193,4,7.467699872,0.195906677
ZL2B,ZL2R,Canada,Solanaceae,Dryland,4,7.122086305,0.377029943,4,7.212285124,0.196679244
ZL3B,ZL3R,Canada,Solanaceae,Dryland,4,7.243700002,0.176556952,3,7.569681309,0.146244558
ZL4B,ZL4R,Canada,Solanaceae,Dryland,4,6.26202591,2.355132908,4,7.134065496,0.520013708
ZL5B,ZL5R,Canada,Solanaceae,Dryland,4,7.398983414,0.240060018,4,7.427926996,0.244086271
ZL6B,ZL6R,Canada,Solanaceae,Dryland,4,7.418063834,0.035418173,4,7.549401983,0.115451669
ZL7B,ZL7R,Canada,Solanaceae,Dryland,4,7.028709817,0.151054928,4,6.512003783,0.534641907
ZL9B,ZL9R,Canada,Solanaceae,Dryland,4,6.680451727,0.098903271,3,6.13074937,0.735851713
ZL91B,ZL91R,Canada,Solanaceae,Dryland,3,6.66735326,0.126892484,3,6.597951246,0.307315376
ZL92B,ZL92R,Canada,Solanaceae,Dryland,3,6.684678105,0.090046489,3,6.693397468,0.303203582
ZM1B,ZM1R,USA,NA,Dryland,8,5.447184921,0.204424621,8,5.359178155,0.180717921
ZM3B,ZM3R,USA,NA,Dryland,5,5.666731102,0.167468962,5,5.495648136,0.09808347
ZP1B,ZP1R,China,Gramineae,Wetland,4,6.154497295,0.626609064,4,5.976157449,0.243913442
ZP2B,ZP2R,China,Gramineae,Wetland,4,6.232481013,0.416826496,4,6.020030731,0.531847731
ZP3B,ZP3R,China,Gramineae,Wetland,4,5.849089385,0.163919224,4,5.948007607,0.57839457
ZP4B,ZP4R,China,Gramineae,Wetland,3,6.024404014,0.493076771,3,6.033004648,0.484774008
ZP5B,ZP5R,China,Gramineae,Wetland,4,6.267006032,0.553576693,4,6.340448255,0.530705039
ZP6B,ZP6R,China,Gramineae,Wetland,4,5.733876864,0.629078218,4,5.938515741,0.679761213
ZQ1B,ZQ1R,China,NA,Dryland,2,6.03955259,0.148777257,2,5.177231647,0.135446863
ZQ2B,ZQ2R,China,NA,Dryland,2,5.992959234,0.225114047,2,5.438337121,0.004851199
ZU1B,ZU1R,China,Cruciferae,Dryland,4,3.946932244,0.247079994,4,3.938371663,0.093162862
ZU2B,ZU2R,China,Cruciferae,Dryland,4,3.996868585,0.035154653,4,3.715860662,0.179699311
ZU3B,ZU3R,China,Cruciferae,Dryland,3,3.501535191,0.16467202,3,3.775095437,0.050558387
ZV1B,ZV1R,Denmark,Gramineae,Dryland,5,4.708573575,0.326063162,5,5.052856985,0.233041716
ZV2B,ZV2R,Denmark,Gramineae,Dryland,5,4.284697884,1.478104682,5,4.79182371,0.231905769
ZV3B,ZV3R,Denmark,Gramineae,Dryland,5,4.742720693,0.087079465,5,4.450640763,0.461963415
ZV4B,ZV4R,Denmark,Gramineae,Dryland,5,4.616820486,0.18747168,5,4.721673953,0.293532445
ZW1B,ZW1R,Korea,Solanaceae,Dryland,3,4.931050377,0.049086903,3,5.321149603,0.26029748
ZW2B,ZW2R,Korea,Solanaceae,Dryland,4,5.299400164,0.251653612,3,5.015249975,0.308692336
ZW3B,ZW3R,Korea,Solanaceae,Dryland,4,5.231106376,0.433549313,3,4.703202852,0.340419444
ZW4B,ZW4R,Korea,Solanaceae,Dryland,6,5.176665176,0.254984389,5,5.118844217,0.188062168
ZW5B,ZW5R,Korea,Solanaceae,Dryland,4,4.958094326,0.25955812,3,5.252250882,0.1866833
ZW6B,ZW6R,Korea,Solanaceae,Dryland,4,5.208072717,0.574399695,3,5.243904877,0.166346911
ZW7B,ZW7R,Korea,Solanaceae,Dryland,4,4.986598527,0.110432967,3,5.35362139,0.186724155
ZX1B,ZX1R,China,Solanaceae,Dryland,4,6.749273083,0.172101152,4,6.61448884,0.143309845
ZZC1B,ZZC1R,USA,NA,Dryland,3,6.733129011,0.116414062,13,6.773357873,0.164288845
ZZC2B,ZZC2R,USA,NA,Dryland,2,6.778842294,0.040739894,12,6.893270381,0.093142888
ZZD1B,ZZD1R,China,Gramineae,Wetland,3,5.682667091,0.705001374,3,6.250727719,0.23341819
ZZD2B,ZZD2R,China,Gramineae,Wetland,3,6.552750476,0.36864946,3,6.305985585,0.027752983
ZZE1B,ZZE1R,China,Gramineae,Dryland,4,6.685194757,0.560436827,3,6.594781548,0.586845548
ZZE2B,ZZE2R,China,Gramineae,Dryland,3,6.464824378,0.552992753,4,6.099508282,0.488130811
ZZE3B,ZZE3R,China,Gramineae,Dryland,4,7.034240779,0.070837849,3,6.54599994,0.530966723
ZZE4B,ZZE4R,China,Gramineae,Dryland,4,6.804924929,0.495633878,3,6.197349832,0.461657574
ZZF1B,ZZF1R,China,NA,Dryland,3,6.859534666,0.162229566,3,5.916172511,0.43333109
ZZF1B,ZZF2R,China,NA,Dryland,3,6.859534666,0.162229566,3,5.776599098,0.260525373
ZZG1B,ZZG1R,Germany,Gramineae,Dryland,3,5.679844213,0.078337047,3,5.593515414,0.129398852
ZZG2B,ZZG2R,Germany,Gramineae,Dryland,2,5.697225969,0.16009762,2,5.826169986,0.495903471
ZZG3B,ZZG3R,Germany,Gramineae,Dryland,3,5.840871183,0.106001776,3,5.697743944,0.041114812
ZZG4B,ZZG4R,Germany,Gramineae,Dryland,2,5.599871429,0.228454182,2,5.565634284,0.030804944
ZZG5B,ZZG5R,Germany,Gramineae,Dryland,3,5.754511011,0.097694652,3,5.533534235,0.144517009
